# Norberg et al. (2002) 2dFGRS bJ-band LF
# M_bJ-5logh logphi err_logphi
-13.275      8.850e-2       4.560e-2 	
-13.550	     5.344e-2       1.839e-2
-13.825	     5.642e-2       1.289e-2
-14.100	     5.580e-2       0.957e-2
-14.375	     4.785e-2       0.661e-2
-14.650	     4.573e-2       0.487e-2
-14.925	     3.927e-2       0.351e-2
-15.200	     3.963e-2       0.288e-2
-15.475	     3.437e-2       0.222e-2
-15.750	     2.906e-2       0.166e-2
-16.025	     3.096e-2       0.148e-2
-16.300	     2.555e-2       0.111e-2
-16.575	     2.522e-2       0.098e-2
-16.850	     2.198e-2       0.075e-2
-17.125	     2.055e-2       0.059e-2
-17.400	     1.826e-2       0.043e-2
-17.675	     1.757e-2       0.035e-2
-17.950	     1.560e-2       0.027e-2
-18.225	     1.496e-2       0.022e-2
-18.500	     1.358e-2       0.018e-2
-18.775	     1.151e-2       0.013e-2
-19.050	     9.812e-3       0.102e-3
-19.325	     7.996e-3       0.077e-3
-19.600	     6.129e-3       0.058e-3
-19.875	     4.444e-3       0.043e-3
-20.150	     2.938e-3       0.030e-3
-20.425	     1.753e-3       0.021e-3
-20.700	     9.341e-4       0.133e-4
-20.975	     4.358e-4       0.081e-4
-21.250	     1.751e-4       0.048e-4
-21.525	     5.688e-5       0.269e-5
-21.800	     1.418e-5       0.137e-5
-22.075	     4.419e-6       0.799e-6
-22.350	     1.192e-6       0.448e-6
-22.625      6.726e-7       3.857e-7
